"A","Alimentäres System und Stoffwechsel","undefined"
"A01","Stomatologika","undefined"
"A01A","Stomatologika","undefined"
"A01AA","Mittel zur Kariesprophylaxe","undefined"
"A01AA01","Natriumfluorid","1,1 mg O 0.5 mg Fluorid"
"A01AA02","Natriummonofluorphosphat","undefined"
"A01AA03","Olaflur","1,1 mg O"
"A01AA04","Zinn(II)-fluorid","undefined"
"A01AA05","Fluorsilan","undefined"
"A01AA30","Kombinationen","undefined"
"A01AA51","Natriumfluorid, Kombinationen","undefined"
"A01AB","Antiinfektiva und Antiseptika zur oralen Lokalbehandlung","undefined"
"A01AB02","Wasserstoffperoxid","60 mg O"
"A01AB03","Chlorhexidin","30 mg O"
"A01AB04","Amphotericin B","40 mg O"
"A01AB05","Polynoxylin","0,18 g O"
"A01AB06","Domiphen","3 mg O"
"A01AB07","Oxychinolin","80 mg O"
"A01AB08","Neomycin","undefined"
"A01AB09","Miconazol","0,2 g O"
"A01AB10","Natamycin","20 mg O"
"A01AB11","Verschiedene","undefined"
"A01AB12","Hexetidin","undefined"
"A01AB13","Tetracyclin","undefined"
"A01AB14","Benzoxoniumchlorid","undefined"
"A01AB15","Tibezoniumiodid","undefined"
"A01AB16","Mepartricin","undefined"
"A01AB17","Metronidazol","undefined"
"A01AB18","Clotrimazol","undefined"
"A01AB19","Natriumperborat","undefined"
"A01AB21","Chlortetracyclin","undefined"
"A01AB22","Doxycyclin","undefined"
"A01AB23","Minocyclin","1 mg O"
"A01AB24","Thymol","undefined"
"A01AB26","Aluminiumchlorid","undefined"
"A01AB27","Ethacridinlactat","undefined"
"A01AB29","Eugenol","undefined"
"A01AB31","Natriumhypochlorit","undefined"
"A01AB32","Natriumpercarbonat","undefined"
"A01AB33","Nystatin","500 000 IE O"
"A01AB36","Aluminiumchlorat","undefined"
"A01AB37","Aluminiumsulfat","undefined"
"A01AB39","Andere Aluminium-haltige Verbindungen","undefined"
"A01AB50","Kombinationen","undefined"
"A01AB53","Chlorhexidin, Kombinationen","undefined"
"A01AB57","Oxychinolin, Kombinationen","undefined"
"A01AB62","Hexetidin, Kombinationen","undefined"
"A01AB75","Chlorphenol, Kombinationen","undefined"
"A01AB76","Aluminiumchlorid, Kombinationen","undefined"
"A01AB78","Sulfanilamid, Kombinationen","undefined"
"A01AB84","Paraformaldehyd, Kombinationen","undefined"
"A01AB85","Formaldehyd, Kombinationen","undefined"
"A01AB88","Azulen, Kombinationen","undefined"
"A01AB90","Demeclocyclin, Kombinationen","undefined"
"A01AC","Corticosteroide zur oralen Lokalbehandlung","undefined"
"A01AC01","Triamcinolon","undefined"
"A01AC02","Dexamethason","undefined"
"A01AC03","Hydrocortison","undefined"
"A01AC04","Prednisolon","undefined"
"A01AC05","Betamethason","undefined"
"A01AC54","Prednisolon, Kombinationen","undefined"
"A01AD","Andere Mittel zur oralen Lokalbehandlung","undefined"
"A01AD01","Epinephrin","undefined"
"A01AD02","Benzydamin","undefined"
"A01AD05","Acetylsalicylsäure","undefined"
"A01AD06","Adrenalon","undefined"
"A01AD07","Amlexanox","undefined"
"A01AD08","Becaplermin","undefined"
"A01AD11","Verschiedene","undefined"
"A01AD18","Cholinsalicylat","undefined"
"A01AD20","Carbenoxolon","undefined"
"A01AD22","Milchsäure","undefined"
"A01AD50","Andere Mittel zur oralen Lokalbehandlung, Kombinationen","undefined"
"A01AD65","Dexpanthenol, Kombinationen","undefined"
"A01AD69","Mineralsalz, Kombinationen","undefined"
"A01AD71","Salicylate, Kombinationen","undefined"
"A01AD72","Speichelersatzlösungen","undefined"
"A01AE","Lokalanästhetika für die orale Lokalbehandlung","undefined"
"A01AE01","Lidocain","undefined"
"A01AE02","Tetracain","undefined"
"A01AE05","Polidocanol (Lauromacrogol 400)","undefined"
"A01AE51","Lidocain, Kombinationen","undefined"
"A01AE52","Tetracain, Kombinationen","undefined"
"A01AE53","Benzocain, Kombinationen","undefined"
"A01AE54","Propipocain, Kombinationen","undefined"
"A01AE55","Polidocanol (Lauromacrogol 400), Kombinationen","undefined"
"A01AH","Homöopathische und anthroposophische Stomatologika","undefined"
"A01AH20","Kombinationen","undefined"
"A01AP","Pflanzliche Stomatologika","undefined"
"A01AP01","Myrrhentinktur","undefined"
"A01AP02","Kamillenblüten","undefined"
"A01AP03","Salbeiblätter","undefined"
"A01AP10","Verschiedene","undefined"
"A01AP30","Kombinationen","undefined"
"A01AP50","Andere pflanzliche Stomatologika, Kombinationen","undefined"
"A01AP52","Kamillenblüten, Kombinationen","undefined"
"A02","Mittel bei Säure bedingten Erkrankungen","undefined"
"A02A","Antacida","undefined"
"A02AA","Magnesium-haltige Verbindungen","undefined"
"A02AA01","Magnesiumcarbonat","undefined"
"A02AA02","Magnesiumoxid","undefined"
"A02AA03","Magnesiumperoxid","undefined"
"A02AA04","Magnesiumhydroxid","3 g O"
"A02AA05","Magnesiumsilikat","undefined"
"A02AA10","Kombinationen","undefined"
"A02AB","Aluminium-haltige Verbindungen","undefined"
"A02AB01","Aluminiumhydroxid","undefined"
"A02AB02","Algeldrat","5 g O"
"A02AB03","Aluminiumphosphat","undefined"
"A02AB04","Dihydroxyaluminiumnatriumcarbonat (Carbaldrat)","undefined"
