"ATC1","Name1","ATC2","Name2","Info","Mechanismus","Effekt","Massnahmen","Grad"
"D01BA02","Terbinafin","N02AX02","Tramadol","Verminderte analgetische Wirkung","Terbinafin hemmt CYP2D6  und damit auch den Metabolismus von Tramadol.","Da Tramadol über CYP2D6 zur analgetisch aktiven Substanz metabolisiert wird, kann eine verminderte Analgesie resultieren und durch die Akkumulation der Muttersubstanz besteht eine verstärkte zentralnervöse Wirksamkeit (Müdigkeit, Atemdepression, erhöhtes Risiko für Krampfanfälle bei Patienten mit Prädisposition, Serotonin Syndrom).","Der gleichzeitige Einsatz von Tramadol und Terbinafin ist ungünstig. Es sollte eine andere analgetische Therapie gewählt oder beispielsweise Itraconazol als alternatives Antimykotikum eingesetzt werden.","D"
"N06AA09","Amitriptylin","M01AE01","Ibuprofen","Synergistische Schmerzmodulation","Keine pharmakokinetische Interaktion zu erwarten. ","Gängige Kombination bei Patienten mit chronischen Schmerzsyndromen, synergistische schmerzmodulierende Wirksamkeit.","Keine spezifischen Massnahmen erforderlich.","A"
"M01AE01","Ibuprofen","N06AA09","Amitriptylin","Synergistische Schmerzmodulation","Keine pharmakokinetische Interaktion zu erwarten. ","Gängige Kombination bei Patienten mit chronischen Schmerzsyndromen, synergistische schmerzmodulierende Wirksamkeit.","Keine spezifischen Massnahmen erforderlich.","A"
"N02AA05","Oxycodon","N03AX09","Lamotrigin","Synergistische Analgesie","Keine pharmakokinetische Interaktion zu erwarten.","Eine additive analgetische Wirkung ist zu erwarten. Bei Patienten mit Epilepsie ist zu beachten, dass Opioide durch Hemmung der GABA-Freisetzung in hippocampalen Pyramidenzellen potentiell die Krampfschwelle senken können. Dadurch könnte, insbesondere bei hoher Dosierung von Oxycodon, die antikonvulsive Wirkung von Lamotrigin verringert werden.","Bei Patienten mit Epilepsie, insbesondere bei hoher Dosierung von Oxycodon, vorsichtshalber auf erhöhte Krampfneigung achten. ","B"
"N03AX09","Lamotrigin","N02AA05","Oxycodon","Synergistische Analgesie","Keine pharmakokinetische Interaktion zu erwarten.","Eine additive analgetische Wirkung ist zu erwarten. Bei Patienten mit Epilepsie ist zu beachten, dass Opioide durch Hemmung der GABA-Freisetzung in hippocampalen Pyramidenzellen potentiell die Krampfschwelle senken können. Dadurch könnte, insbesondere bei hoher Dosierung von Oxycodon, die antikonvulsive Wirkung von Lamotrigin verringert werden.","Bei Patienten mit Epilepsie, insbesondere bei hoher Dosierung von Oxycodon, vorsichtshalber auf erhöhte Krampfneigung achten. ","B"
"N06AA09","Amitriptylin","N03AX16","Pregabalin","Synergistische Analgesie, reduzierte antikonvulsive Wirkung","Keine pharmakokinetische Interaktion zu erwarten. ","Wird Pregabalin in der Indikation Epilepsie angewendet, ist zu beachten, dass Amitriptylin die Krampfschwelle senken und damit die antikonvulsive Wirksamkeit von Pregabalin reduzieren kann. Ansonsten synergistische analgetische Wirkung, additive Effekte hinsichtlich Sedation und Gewichtszunahme möglich.","Bei gleichzeitiger Anwendung bei Patienten mit Epilepsie vorsichtshalber auf erhöhte Krampfneigung achten und ggf. Dosis von Pregabalin anpassen. ","B"
"N03AX16","Pregabalin","N06AA09","Amitriptylin","Synergistische Analgesie, reduzierte antikonvulsive Wirkung","Keine pharmakokinetische Interaktion zu erwarten. ","Wird Pregabalin in der Indikation Epilepsie angewendet, ist zu beachten, dass Amitriptylin die Krampfschwelle senken und damit die antikonvulsive Wirksamkeit von Pregabalin reduzieren kann. Ansonsten synergistische analgetische Wirkung, additive Effekte hinsichtlich Sedation und Gewichtszunahme möglich.","Bei gleichzeitiger Anwendung bei Patienten mit Epilepsie vorsichtshalber auf erhöhte Krampfneigung achten und ggf. Dosis von Pregabalin anpassen. ","B"
"J01FA09","Clarithromycin","G04BD10","Darifenacin","Erhöhtes Risiko für anticholinerge Effekte","Darifenacin wird hauptsächlich durch die beiden CYP-Isoenzyme CYP3A4 und CYP2D6 metabolisiert, zudem ist P-Glykoprotein am Transport beteiligt. Clarithromycin ist ein starker CYP-3A- und P-Glykoprotein-Inhibitor, sodass der Abbau von Darifenacin gehemmt sein kann und erhöhte Arzneistoffkonzentrationen auftreten können.","Gemäss Schweizer Fachinformation ist die gleichzeitige Gabe von Darifenacin und starken CYP-3A4- bzw. starken P-Glykoprotein-Inhibitoren kontraindiziert. Da CYP3A4 nach Gabe höherer Dosen Darifenacin noch stärker am Metabolismus beteiligt zu sein scheint, ist anzunehmen, dass das Ausmass der unerwünschten Effekte in der Kombination starker CYP3A4-Inhibitoren mit einer Dosis von 15 mg Darifenacin ausgeprägter ist. Symptome anticholinerger Nebenwirkungen können Mundtrockenheit, Sehstörungen, Schwindel oder auch Tachycardie sein.","Die Kombination sollte vermieden werden. Muss sie gegeben werden, sollte eine niedrige Darifenacin-Dosis gegeben werden und eine engmaschige Monitorisierung bezüglich anticholinerger Nebenwirkungen durchgeführt werden.","D"
"J01FA01","Erythromycin","G04BD10","Darifenacin","Erhöhtes Risiko für anticholinerge Effekte","Darifenacin wird hauptsächlich durch die beiden CYP-Isoenzyme CYP3A4 und CYP2D6 metabolisiert, zudem ist P-Glykoprotein am Transport beteiligt. Erythromycin ist ein moderater CYP-3A-Inhibitor und hemmt auch P-Glykoprotein, sodass der Abbau von Darifenacin gehemmt sein kann und erhöhte Arzneistoffkonzentrationen auftreten können.","Nach einmal täglicher Gabe von 30 mg Darifenacin zusammen mit Erythromycin war die Cmax um 128% und die AUC um 95% erhöht. Die Dosierung lag allerdings oberhalb der therapeutisch eingesetzten Konzentrationen. Mit zunehmender Darifenacin-Dosis scheint auch die Beteiligung von CYP3A4 am Metabolismus zuzunehmen, sodass verstärkt unerwünschte Effekte auftreten können. In einer anderen Veröffentlichung wird eine Erhöhung der Cmax von Darifenacin unter Erythromycin um das 2.28fache beschrieben. Symptome anticholinerger Nebenwirkungen können Mundtrockenheit, Sehstörungen, Schwindel oder auch Tachycardie sein.","Bei zeitgleicher Behandlung mit mässigen CYP3A4-Inhibitoren wie Erythromycin sollte Darifenacin - insbesondere in der höheren Dosierung von 15 mg - nur entsprechend vorsichtig eingesetzt werden. Eine engmaschige Monitorisierung bezüglich anticholinerger Nebenwirkungen muss durchgeführt werden.","C"
"J02AC03","Voriconazol","G04BD10","Darifenacin","Erhöhtes Risiko für anticholinerge Effekte","Darifenacin wird hauptsächlich durch die beiden CYP-Isoenzyme CYP3A4 und CYP2D6 metabolisiert. Voriconazol ist ein starker CYP-3A-Inhibitor  und hemmt auch P-Glykoprotein, sodass der Abbau von Darifenacin gehemmt sein kann und erhöhte Arzneistoffkonzentrationen auftreten können.","Gemäss Schweizer Fachinformation ist die gleichzeitige Gabe von Darifenacin und starken CYP-3A4- bzw. starken P-Glykoprotein-Inhibitoren kontraindiziert. Da CYP3A4 nach Gabe höherer Dosen Darifenacin noch stärker am Metabolismus beteiligt zu sein scheint, ist anzunehmen, dass das Ausmass der unerwünschten Effekte in der Kombination starker CYP3A4-Inhibitoren mit einer Dosis von 15 mg Darifenacin ausgeprägter ist. Symptome anticholinerger Nebenwirkungen können Mundtrockenheit, Sehstörungen, Schwindel oder auch Tachycardie sein.","Die Kombination sollte vermieden werden. Muss sie gegeben werden, sollte eine niedrige Darifenacin-Dosis gegeben werden und eine engmaschige Monitorisierung bezüglich anticholinerger Nebenwirkungen durchgeführt werden.","D"
